ID	Label
1095	National Lampoon's Van Wilder
1096	Khabi Khushi Kabhi Gham
1097	Blue Streak
1098	Lara Croft: Tomb Raider
1099	The Big House
1100	The Ten Commandments
1101	Foxfire
1102	Nashville
1103	Aliens
1104	Cowboy Bebop: The Movie
1105	What's the Worst That Could Happen?
1106	The Lion King II: Simba's Pride
1107	Hart's War
1108	Swimming Pool
1109	The Pure Hell of St Trinian's
1110	Fluke
1111	Faces
1112	Michael Collins
1113	Criminal Law
1114	...tick...tick...tick...
1115	Big Daddy
1116	Spy Kids 2: Island Of Lost Dreams
1117	Jubilee
1118	Doctor Who
1119	Willard
1120	Second Skin
1121	Miracle
1122	Snake Eyes
1123	The Cheetah Girls
1124	Star Wars Episode I: The Phantom Menace
1125	Exorcist II: The Heretic
1126	Chinatown
1127	Austin Powers: International Man of Mystery
1128	Witchfinder General
1129	Armed and Dangerous
1130	Alphaville
1131	The Contender
1132	Crossroads
1133	The Kid
1134	Category 6: Day of Destruction
1135	The Wizard
1136	Swing Out, Sister
1137	Greed
1138	Brigham Young
1139	25th Hour
1140	Ryan's Daughter
1141	Animal Crackers
1142	Affliction
1143	Election
1144	Pinky
1145	PCU
1146	The Three Musketeers
1147	Backdraft
1148	Committed
1149	Alfie
1150	Bottle Rocket
1151	Boys' Night Out
1152	Oliver's Story
1153	Dodgeball: A True Underdog Story
1154	The Fall of the Roman Empire
1155	Celebrity
1156	All the Queen's Men
1157	Sugar & Spice
1158	Out Cold
1159	Warlock
1160	Rad
1161	Free Willy 2: The Adventure Home
1162	America's Sweethearts
1163	My Best Friend's Wedding
1164	Test Pilot
1165	Jetsons: The Movie
1166	Platoon
1167	Boys Town
1168	Grand Prix
1169	Performance
1170	Anjali
1171	Head of State
1172	Yu Yu Hakusho: Poltergeist Report
1173	Commando
1174	Alice in Wonderland
1175	Madhouse
1176	Snow White and the Seven Dwarfs
1177	The Star
1178	It's a Wonderful Life
1179	Spirit: Stallion of the Cimarron
1180	The Hills Have Eyes
1181	National Treasure
1182	Wimbledon
1183	Casino
1184	SuperBabies: Baby Geniuses 2
1185	To Catch a Thief
1186	Shatranj Ke Khiladi
1187	Jerky Boys: The Movie
1188	Berserker
1189	Dante's Peak
1190	Poor Little Rich Girl
1191	Airplane!
1192	Battle Royale
1193	The Letter
1194	Dirty Mary, Crazy Larry
1195	The Dead
1196	Foreign Correspondent
1197	Earthquake
1198	54
1199	Secretary
1200	Superfly
1201	Pandaemonium
1202	El Cid
1203	Wayne's World 2
1204	McCabe & Mrs. Miller
1205	Blind Date
1206	Class Action
1207	Love Is a Many-Splendored Thing
1208	Ewoks: The Battle for Endor
1209	Faust
1210	The Lady Vanishes
1211	Trinity
1212	Black and White
1213	Sullivan's Travels
1214	The Cruel Sea
1215	The Devils
1216	Terminator 3: Rise of the Machines
1217	Mr. Baseball
1218	Lean on Me
1219	Equilibrium
1220	Patch Adams
1221	Twilight
1222	The Firm
1223	Victim
1224	The 5,000 Fingers of Dr. T
1225	Somebody Up There Likes Me
1226	Charlie's Angels: Full Throttle
1227	Richard III
1228	Cats Don't Dance
1229	Fahrenheit 9/11Â½
1230	Broadcast News
1231	Road House
1232	Total Eclipse
1233	James and the Giant Peach
1234	The Human Condition
1235	The Princess Diaries 2: Royal Engagement
1236	Queen Bee
1237	Constantine
1238	The Saint
1239	Rebirth of Fusion!! Goku and Vegeta!!
1240	BMX Bandits
1241	Barbershop
1242	Battleground
1243	Override
1244	Cousin, cousine
1245	8Â½
1246	Kate & Leopold
1247	Top Secret!
1248	Star Wars Episode II: Attack of the Clones
1249	Mr. Nanny
1250	The Mission
1251	The Elephant Man
1252	Pulp Fiction
1253	Buster
1254	Detroit Rock City
1255	Obsession
1256	The Temptations
1257	Adam's Rib
1258	The Informer
1259	I'll Never Forget What's 'Isname
1260	Patton
1261	L'Homme de Rio
1262	Anacondas: The Hunt for the Blood Orchid
1263	Saboteur
1264	Daylight
1265	Little Nicky
1266	Dick Tracy
1267	Batman: Mystery of the Batwoman
1268	Anger Management
1269	A Hard Day's Night
1270	Roger & Me
1271	What the #$*! Do We Know!?
1272	All's Well, Ends Well Too
1273	Rashomon
1274	Notting Hill
1275	Weird Science
1276	Heist
1277	Visitors
1278	Hide and Seek
1279	Edge of Darkness
1280	Out of Africa
1281	Dirty Work
1282	Jason and the Argonauts
1283	Hitler, Beast of Berlin
