Actor;Movies
James Donald;Lust for Life|Quatermass and the Pit
Christopher Lee;Star Wars Episode III: Revenge of the Sith|Charlie and the Chocolate Factory|The Mummy|Gremlins 2: The New Batch|The Lord of the Rings: The Fellowship of the Ring|The Last Unicorn|The Lord of the Rings: The Two Towers|Dracula|Star Wars Episode II: Attack of the Clones|The Lord of the Rings: The Return of the King|1941
Chandra West;White Noise|Category 6: Day of Destruction
Philippe Noiret;Topaz|Round Midnight|Murphy's War
Dudley Sutton;Edward II|The Devils
Colin Firth;Blackadder: Back & Forth|The English Patient|What a Girl Wants|Bridget Jones: The Edge of Reason|Conspiracy
A. J. Benza;P.S. Your Cat Is Dead|Ransom
Adam Baldwin;Radio Flyer|Serenity
Edmund Gwenn;Them!|Les Miserables
John Cusack;Serendipity|Identity|The Thin Red Line|The Grifters|Max|City Hall|True Colors|America's Sweethearts|High Fidelity|Anastasia
Sam Elliott;Road House|Hulk|Mask|The Golden Compass|The Contender|Tombstone|Gettysburg
Joaquin Phoenix;8mm|It's All About Love|The Village|Signs
Gabriel Mann;The Bourne Supremacy|Josie and the Pussycats|Josie and the Pussycats|The Bourne Supremacy
Julia Louis-Dreyfus;North|Fathers' Day|A Bug's Life|National Lampoon's Christmas Vacation
Sean Whalen;Twister|Python|Python
Frankie Faison;Manhunter|Cat People|Down to Earth|Red Dragon|Hannibal
Clive Owen;Sin City|Bent|Closer|King Arthur|Elizabeth: The Golden Age|The Bourne Identity
Ernie Sabella;The Lion King II: Simba's Pride|The Lion King 1Â½
Patricia Clarkson;The Green Mile|All the King's Men|Miracle|The Pledge
Nicol Williamson;Spawn|Excalibur
Jimi Mistry;East is East|The Guru
Barbara Hershey;The Portrait of a Lady|Diamonds|Beaches|Riding the Bullet|Swing Kids
Joe Pichler;Beethoven's 4th|Beethoven's 3rd
Frank Albertson;Room Service|Psycho
Thomas Jane;The Thin Red Line|Original Sin|Thursday|61*
Clea DuVall;Identity|She's All That|Committed|Can't Hardly Wait|But I'm a Cheerleader
Clark Gable;Idiot's Delight|The Misfits|San Francisco|Teacher's Pet|Test Pilot
Elvis Presley;Roustabout|Jailhouse Rock|Love Me Tender
Patricia Kalember;Signs|Jacob's Ladder
Hugh Griffith;Ben-Hur|Tom Jones
Bill Erwin;Somewhere in Time|She's Having a Baby
Sid Caesar;It's a Mad, Mad, Mad, Mad World|The Fiendish Plot of Dr. Fu Manchu
Ben Foster;Hostage|Get Over It
Patrick McGoohan;Silver Streak|Ice Station Zebra
Esai Morales;La Bamba|My Family
Judd Nelson;St. Elmo's Fire|The Transformers: The Movie
Diane Baker;The Diary of Anne Frank|Marnie|Journey to the Center of the Earth
Summer Phoenix;Committed|SLC Punk!
Sean Penn;State of Grace|Mystic River|The Thin Red Line|It's All About Love|All the King's Men|Carlito's Way
Maximilian Schell;Topkapi|Vampires|Julia|Deep Impact
Dante Basco;Hook|But I'm a Cheerleader
Maureen O'Hara;McLintock!|Rio Grande|The Hunchback of Notre Dame|Bagdad
Hirofumi Arai;Go|Justice
Rutger Hauer;Turkish Delight|Buffy the Vampire Slayer|The Osterman Weekend|Sin City|Merlin|Flesh & Blood
William Morgan Sheppard;The Keep|Atlantis: Milo's Return|Gettysburg
Diane McBain;The Broken Hearts Club: A Romantic Comedy|The Broken Hearts Club: A Romantic Comedy
Neve Campbell;Churchill: The Hollywood Years|54|The Lion King II: Simba's Pride|Panic|The Craft|Scream
Mackenzie Crook;Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: Dead Man's Chest
Jacqueline Bisset;Class|Day for Night|Inchon|Airport|Domino
Samantha Morton;Minority Report|John Carter of Mars|Elizabeth: The Golden Age
Claudia Gerini;Don't Move|Don't Move
Nigel Bruce;Limelight|Suspicion
Cameron Diaz;There's Something About Mary|Charlie's Angels: Full Throttle|The Mask|My Best Friend's Wedding|Charlie's Angels
Harrison Ford;K-19: The Widowmaker|Frantic|Witness|Air Force One|Hearts of Darkness: A Filmmakers's Apocalypse|Star Wars Episode IV: A New Hope|Presumed Innocent|The Devil's Own|Star Wars Episode VI: Return of the Jedi|Star Wars Episode V: The Empire Strikes Back|Sabrina
Albert Bassermann;Foreign Correspondent|The Red Shoes|Madame Curie
Marc McClure;Superman IV: The Quest For Peace|Superman
Sissy Spacek;Missing|The River|Affliction|JFK|Badlands|Coal Miner's Daughter
William Petersen;Thief|The Contender|Manhunter|The Skulls|Fear|Cousins
Oliver Phelps;Harry Potter and the Half-Blood Prince|Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Order of the Phoenix|Harry Potter and the Goblet of Fire|Harry Potter and the Prisoner of Azkaban
Monica Potter;Patch Adams|Martha, Meet Frank, Daniel and Laurence|A Cool, Dry Place|Bulletproof|Saw
Megumi Hayashibara;Pokamon: Legend Comes to Life|Cowboy Bebop: The Movie
John Vernon;National Lampoon's Animal House|Topaz|I'm Gonna Git You Sucka|Point Blank
Richard Brooks;The Crow: City of Angels|The Crow: City of Angels
Michael Oliver;Problem Child|Problem Child
Wendee Lee;Akira|Reign: The Conqueror|Vampire Hunter D: Bloodlust|Cowboy Bebop: The Movie
Matt Stone;Team America: World Police|Cannibal! The Musical|South Park: Bigger, Longer & Uncut
Kate Beckinsale;Serendipity|Underworld: Evolution|Underworld|Laurel Canyon|Pearl Harbor
Paul Bettany;A Knight's Tale|Wimbledon|Master and Commander: The Far Side of the World
Marc Anthony;Man on Fire|Hackers
Daniel von Bargen;Shaft|O Brother, Where Art Thou?
Joanna Cassidy;Barbarians at the Gate|Don't Tell Mom the Babysitter's Dead
Thomas Ian Nicholas;The Rules of Attraction|A Kid in King Arthur's Court
Joe Keaton;Sherlock, Jr.|Sherlock, Jr.
Gary Oldman;Lost in Space|State of Grace|Immortal Beloved|Criminal Law|Bram Stoker's Dracula|Harry Potter and the Goblet of Fire|The Contender|JFK|Harry Potter and the Order of the Phoenix|Leon|Air Force One|Harry Potter and the Prisoner of Azkaban|Hannibal
Tim Roth;Pulp Fiction|Rob Roy|Planet of the Apes
LL Cool J;Toys|S.W.A.T.|Rollerball
Orlando Jones;Evolution|Bedazzled|Magnolia|The Replacements
Stockard Channing;Twilight|Where the Heart Is|Grease|Six Degrees of Separation|To Wong Foo, Thanks for Everything! Julie Newmar
Bernard-Pierre Donnadieu;The Vanishing|The Vanishing
Bibi Besch;Star Trek II: The Wrath of Khan|Tremors
David Carradine;Kill Bill|Dangerous Curves|The Serpent's Egg
Harris Yulin;Multiplicity|Scarface|The Emperor's Club|The Hurricane
Royal Dano;King of Kings|Mr. Magoo's Christmas Carol
Susan Hayward;Smash-Up, the Story of a Woman|I Want to Live!|With a Song in My Heart|My Foolish Heart|I'll Cry Tomorrow
Rick Moranis;Honey, I Blew Up the Kid|The Flintstones|My Blue Heaven
Teresa Mo;All's Well, Ends Well Too|All's Well, Ends Well
Andrew Miller;Cube|Cube
Tony Todd;The Rock|Candyman|The Crow|Platoon|Wishmaster|Night of the Living Dead
Danielle Tabor;Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Prisoner of Azkaban
Heath Ledger;Monster's Ball|The Patriot|A Knight's Tale|Ned Kelly|The Order
Dominic West;John Carter of Mars|Rock Star|Chicago
David Gulpilil;Walkabout|Rabbit-Proof Fence
Javier Bardem;Collateral|Second Skin
Kevin Connolly;Don's Plum|Antwone Fisher
Betsy Palmer;Queen Bee|Friday the 13th
Ian McKellen;The Lord of the Rings: The Fellowship of the Ring|The Keep|Richard III|The Lord of the Rings: The Return of the King|Bent|The Golden Compass|Apt Pupil|The Lord of the Rings: The Two Towers|Scandal|X-Men|X2
Greg Kinnear;Someone Like You|Sabrina|You've Got Mail|The Gift|Robots
James Villiers;Blood from the Mummy's Tomb|The Nanny
George DiCenzo;About Last Night|Helter Skelter
Jeff Bridges;The Morning After|Fearless|Tucker: The Man and His Dream|The Last Unicorn|Seabiscuit|Starman|Tron|The Contender|The Fisher King|The Vanishing|King Kong|Heaven's Gate|Jagged Edge
William Hurt;The Big Chill|Alice|Broadcast News|Dune|Lost in Space|A.I.|The Village
Kathryn Erbe;Kiss of Death|What About Bob?
Mary Elizabeth Mastrantonio;Class Action|Robin Hood: Prince of Thieves|Scarface
Christopher Collet;Manhattan Project|Manhattan Project
Judi Dench;Henry V|Casino Royale|Iris|Hamlet
Beau Bridges;Alice in Wonderland|Lovin' Molly|The Wizard|10.5
Emmy Rossum;Mystic River|The Phantom of the Opera
Magda Szubanski;Babe|Babe: Pig in the City
Jena Malone;For Love of the Game|American Girl|Saved!|Cheaters
Burgess Meredith;Batman|Magic|Idiot's Delight|Madame X|Twilight Zone: The Movie|Of Mice and Men|In Harm's Way|The Hindenburg|The Story of G.I. Joe
Anne Baxter;The Luck of the Irish|I Confess|The Pied Piper|The Ten Commandments
Paula Prentiss;In Harm's Way|What's New Pussycat?
Julian Beck;The Cotton Club|Candy
Ajay Naidu;Pi|The Guru
Donald Moffat;Class Action|John Carpenter's The Thing|61*
Michael Redgrave;Goodbye, Mr. Chips|The Lady Vanishes|Oh... Rosalinda!!|Battle of Britain|Oh! What a Lovely War|The Dam Busters
Luke Askew;Easy Rider|The Green Berets|Easy Rider
Lili Taylor;She's Having a Baby|Dogfight|Ransom|Live from Baghdad|Mrs. Parker and the Vicious Circle|The Haunting|High Fidelity|Rudy
Glenn Ford;Superman|Trial|Midway
Patrick Bergin;Sleeping with the Enemy|Berserker
Andy Romano;Eraser|Over the Edge|Pump Up the Volume
Charles Aznavour;Ararat|The Games|Candy
Rebekah Del Rio;Rabbits|Rabbits
Alexander Siddig;Kingdom of Heaven|Reign of Fire
Toshiro Mifune;Shogun|Yojimbo|Hakuchi|Stray Dog|1941|Inchon|Rashomon|Midway|Grand Prix
Kate Nelligan;Wolf|Dracula
Sam Robards;American Beauty|A.I.
James Sikking;Star Trek III: The Search for Spock|Outland
Khandi Alexander;There's Something About Mary|What's Love Got to Do with It
Chazz Palminteri;Lady and the Tramp II: Scamp's Adventure|Down to Earth
Cary Grant;Topper|Arsenic and Old Lace|Suspicion|Alice in Wonderland|The Bishop's Wife|Dead Men Don't Wear Plaid|To Catch a Thief
Robert Powell;Jesus of Nazareth|Tommy
Tim Curry;Kinsey|Home Alone 2: Lost in New York|Clue|Rugrats Go Wild!|Beauty and the Beast: The Enchanted Christmas|Congo|Legend|It|Charlie's Angels
Mi­a Maestro;The Motorcycle Diaries|In the Time of the Butterflies
Verna Bloom;National Lampoon's Animal House|After Hours
Jeffrey Tambor;There's Something About Mary|The Muppets' Wizard of Oz|...And Justice for All
Lori Williams;Faster, Pussycat! Kill! Kill!|Faster, Pussycat! Kill! Kill!
Tobin Bell;Saw|The Firm
Peter Jeffrey;Dr. Phibes Rises Again|If...
Jeremy Sisto;Bongwater|Thirteen
Ethan Suplee;Evolution|Blow|Cold Mountain|The First $20 Million Is Always the Hardest|Dogma|Road Trip
Milo O'Shea;Ulysses|Romeo and Juliet
Vanessa Angel;SuperBabies: Baby Geniuses 2|Sabretooth
Terry-Thomas;Private's Progress|Blue Murder at St Trinian's|It's a Mad, Mad, Mad, Mad World|I'm All Right Jack|Robin Hood
Charles Rocket;Dumb & Dumber|Fathers' Day
Mary Lynn Rajskub;Legally Blonde 2: Red, White & Blonde|Dude, Where's My Car?|Sweet Home Alabama
Ned Beatty;Nashville|Superman|Network|Hopscotch|Rudy|Silver Streak|1941
Phoebe Cates;Gremlins 2: The New Batch|Father of the Bride
Richard Tucker;Wings|Flash Gordon|Wings
Ray McAnally;The Mission|My Left Foot
Dylan Baker;Happiness|Kinsey|Hide and Seek
Melanie Lynskey;Detroit Rock City|But I'm a Cheerleader|Sweet Home Alabama
Joji Yanami;Clash!! 10,000,000,000 Powerful Warriors|A Lonesome, Final Battle: The Father of Z-Warrior Son Goku, who Challenged Freeza|Dead Zone|Rebirth of Fusion!! Goku and Vegeta!!|Burn Up!! A Close, Intense, Super-Fierce Battle
Alice Roberts;Pandora's Box|Pandora's Box
Charlie Sheen;Ferris Bueller's Day Off|Major League|Lucas|The Big Bounce|Hot Shots!|Wall Street|Hot Shots! Part Deux|Platoon
Gaston Modot;L'ige d'Or|L'ige d'Or
Rachel Blanchard;Sugar & Spice|Road Trip
Monica Keena;Man of the House|First Daughter
James McAvoy;Wimbledon|Children of Dune
Sam Neill;Restoration|Wimbledon|Enigma|The Jungle Book|Event Horizon|Dead Calm|Merlin|Perfect Strangers|Jurassic Park|Sirens
Audrey Hepburn;Sabrina|Always|Breakfast at Tiffany's
Ginger Rogers;Top Hat|Perfect Strangers|42nd Street
Vincent Cassel;L'Appartement|Elizabeth|Irreversible|Ocean's Twelve
Michael Bergin;Baywatch: Hawaiian Wedding|The Broken Hearts Club: A Romantic Comedy
Gwen Verdon;Cocoon: The Return|The Cotton Club|Cocoon|Alice|Marvin's Room
James Darren;Diamond Head|Gidget
Joan Allen;The Bourne Supremacy|Tucker: The Man and His Dream|The Crucible|The Contender|Manhunter|Nixon
Ed O'Neill;Wayne's World 2|K-9|Wayne's World
Chris Farley;Dirty Work|Black Sheep|Wayne's World 2|Wayne's World
Henry Fonda;Jezebel|In Harm's Way|Yours, Mine and Ours|Fail-Safe|Battle of the Bulge|Young Mr. Lincoln|How the West Was Won|The Longest Day|The Best Man|Midway|Warlock
Matheus Nachtergaele;Central do Brasil|Que i Isso, Companheiro?|City of God|Central do Brasil|City of God
Antonio Banderas;Original Sin|Ballistic: Ecks vs. Sever|Philadelphia|Desperado|Imagining Argentina|Â¡itame!|The House of the Spirits
W. Earl Brown;There's Something About Mary|Scream
Hedy Lamarr;Tortilla Flat|Samson and Delilah|Ecstasy|Algiers
H. B. Warner;A Tale of Two Cities|Lost Horizon|King of Kings
Adrienne-Joi Johnson;Baby Boy|House Party
Debra Paget;The Ten Commandments|Les Miserables|Broken Arrow|Love Me Tender
Mae Questel;Snow White|National Lampoon's Christmas Vacation
Mary Kay Bergman;Beauty and the Beast|South Park: Bigger, Longer & Uncut
Michiyo Aratama;Kwaidan|The Human Condition
Tom Green;Charlie's Angels|Road Trip
Bebe Neuwirth;The Big Bounce|Tadpole|The Adventures of Pinocchio
Susumu Terajima;Brother|After Life|Distance
Janet Munro;Swiss Family Robinson|Darby O'Gill and the Little People
John Huston;The Black Cauldron|Chinatown|The Hobbit|The Return of the King|Candy
Stephen Root;Dodgeball: A True Underdog Story|O Brother, Where Art Thou?
James Cagney;Love Me or Leave Me|Ragtime|Dead Men Don't Wear Plaid|One, Two, Three
Mary McDonnell;Sneakers|Independence Day
J. Carrol Naish;Joan of Arc|Sahara
John C. McGinley;Identity|The Rock|Point Break|Wall Street|Platoon
Kurt Russell;John Carpenter's The Thing|The Fox and the Hound|Tombstone|Backdraft|Miracle|Tequila Sunrise|Stargate|John Carpenter's Escape from L.A.|Soldier
Stephen Dorff;Alone in the Dark|Cecil B. Demented|The Gate|Judgment Night|Blade
Fisher Stevens;Hackers|Short Circuit|Super Mario Bros.
Richard Burton;1984|My Cousin Rachel|The Longest Day|Exorcist II: The Heretic|Candy
Michael Gough;Sleepy Hollow|Dracula|Top Secret!|Batman|Batman & Robin
Susan Strasberg;Picnic|The Trip
Klaus Maria Brandauer;Out of Africa|Everyman's Feast|White Fang
Edward Woodward;Breaker Morant|King David
Barry Corbin;Curdled|Who's Harry Crumb?
Deborah Kara Unger;White Noise|The Hurricane
Nick Brimble;Robin Hood: Prince of Thieves|A Knight's Tale
Richard T. Jones;Event Horizon|Phone Booth|Where the Heart Is
Katsumi Tezuka;Ghidorah, the Three-Headed Monster|Godzilla
Ryan Reynolds;National Lampoon's Van Wilder|Blade: Trinity
Everett McGill;Under Siege 2: Dark Territory|Dune
Cheryl Ladd;Poison Ivy|Millennium
Aunjanue Ellis;Freedomland|Ray
Melanie Griffith;Cecil B. Demented|Nobody's Fool|Body Double|Celebrity|Something Wild
Jeremy Piven;Serendipity|PCU|Lucas|Cars|Old School|Judgment Night|Singles
Dana Carvey;Wayne's World 2|Wayne's World
Rachel True;The Craft|Groove|Nowhere
Kevin J. Anderson;Sleeping with the Enemy|Liebestraum
Jaime King;Sin City|Blow|Pearl Harbor
Mika Boorem;Sleepover|Dirty Dancing
Tom Skerritt;Poison Ivy|Singles|Top Gun|Aftershock: Earthquake in New York|Contact|The Dead Zone|MASH
Adam West;BAADASSSSS!|Batman|Hooper|Chicken Little
Catherine O'Hara;Orange County|After Hours|Lemony Snicket's A Series of Unfortunate Events|Home Fries|Chicken Little|Home Alone 2: Lost in New York
Patrick Stewart;Star Trek: Insurrection|Dune|Lady Jane|Star Trek: Generations|Lifeforce|Star Trek Nemesis|Conspiracy Theory|Hedda|Jimmy Neutron: Boy Genius|Chicken Little|Star Trek: First Contact|Excalibur|X-Men|Robin Hood: Men in Tights|X2
Miranda Otto;In My Father's Den|Human Nature|The Lord of the Rings: The Two Towers|The Lord of the Rings: The Return of the King|War of the Worlds
Sunshine Parker;Road House|Tremors
Jeremy Irons;The Mission|Kingdom of Heaven|From Time to Time/De Temps en Temps|M. Butterfly|Dead Ringers|Die Hard: With a Vengeance|The House of the Spirits|Eragon|Dungeons & Dragons
Lee J. Cobb;The Exorcist|Exodus|Mackenna's Gold|How the West Was Won|The Luck of the Irish|The Brothers Karamazov|The Song of Bernadette
Anthony Quayle;Hamlet|Oh... Rosalinda!!|Lawrence of Arabia|Buster|The Battle of the River Plate
Richard Crenna;The Sand Pebbles|Rambo: First Blood Part II|Sabrina|Hot Shots! Part Deux
Mindy Sterling;Austin Powers: International Man of Mystery|Austin Powers:The Spy Who Shagged Me|Austin Powers: Goldmember
James Remar;Blade: Trinity|The Cotton Club|The Clan of the Cave Bear|Mortal Kombat: Annihilation|Ratatouille|Blink
Jon Voight;Anaconda|Enemy of the State|The Manchurian Candidate|National Treasure|Pearl Harbor|The Rainmaker|Runaway Train|Mission: Impossible|Ali|Lara Croft: Tomb Raider|SuperBabies: Baby Geniuses 2|Heat
Judge Reinhold;Puss in Boots|Beethoven's 3rd|Stripes|Beethoven's 4th
P. J. Soles;Stripes|Rock 'n' Roll High School|Halloween|Sweet Dreams
Sherilyn Fenn;Wild at Heart|Of Mice and Men
Donna Mills;Knots Landing: Back to the Cul-de-Sac|Alice in Wonderland
Johnny Depp;Ed Wood|Charlie and the Chocolate Factory|Benny & Joon|Sleepy Hollow|Pirates of the Caribbean: The Curse of the Black Pearl|What's Eating Gilbert Grape|Blow|Pirates of the Caribbean: Dead Man's Chest|Platoon
Steve McQueen;The Getaway|The Sand Pebbles|Papillon
Philip Stone;The Lord of the Rings|The Shining
George Gaynes;Dead Men Don't Wear Plaid|Police Academy|Police Academy 2: Their First Assignment
Leslie Nielsen;The Naked Gun 2 1/2: The Smell of Fear|The Poseidon Adventure|Airplane!|Dracula: Dead and Loving It
Martin Donovan;Spanish Fly|Saved!
Judy Geeson;To Sir, with Love|Spanish Fly
Keith David;There's Something About Mary|Barbershop|Where the Heart Is|Volcano|Hercules|The Chronicles of Riddick: Dark Fury|John Carpenter's The Thing|Armageddon|Platoon|Final Fantasy: The Spirits Within
Ian McShane;Jesus of Nazareth|The Golden Compass|Battle of Britain|A Bug's Life
Cate Blanchett;Heaven|The Talented Mr. Ripley|The Lord of the Rings: The Fellowship of the Ring|The Lord of the Rings: The Return of the King|Veronica Guerin|Elizabeth|The Lord of the Rings: The Two Towers|Elizabeth: The Golden Age|The Gift
Rowan Atkinson;Hot Shots! Part Deux|Rat Race|Blackadder: Back & Forth|Scooby-Doo
Lindsay Crouse;The Insider|Slap Shot
Sean Patrick Thomas;Can't Hardly Wait|Barbershop 2: Back in Business|Barbershop
Oscar Beregi Sr.;Das Testament des Dr. Mabuse|Das Testament des Dr. Mabuse
Gary Raymond;Jason and the Argonauts|El Cid
Karen Duffy;Dumb & Dumber|Blank Check
Chang Chen;Happy Together|2046
Charlize Theron;Monster|That Thing You Do!|The Devil's Advocate|Celebrity
Marina Sirtis;Star Trek: Insurrection|Star Trek Nemesis|Star Trek: First Contact
Jean Peters;Three Coins in the Fountain|Viva Zapata!
Peter Lorre;Beat the Devil|Arsenic and Old Lace|Around the World in Eighty Days|The Raven|M|Casablanca|The Face Behind the Mask
Yves Montand;Z|Grand Prix
Kenneth Tsang;Once a Thief|The Killer
Fred Draper;Faces|Faces
Costas Mandylor;Exiled: A Law & Order Movie|The Pledge
Mako;Rugrats in Paris: The Movie|Tucker: The Man and His Dream|The Sand Pebbles|Tucker: The Man and His Dream|Testament|Pearl Harbor
Brian Dennehy;Category 6: Day of Destruction|Assault on Precinct 13|Romeo + Juliet|Presumed Innocent|Cocoon|F/X|Ratatouille
Romy Schneider;What's New Pussycat?|Bocaccio '70
Tom Wood;Ulee's Gold|Ulee's Gold
Othon Bastos;Que i Isso, Companheiro?|Que i Isso, Companheiro?
Dennis Farina;Manhunter|Snatch|Paparazzi
Richard Lewis;Once Upon a Crime...|Robin Hood: Men in Tights|Once Upon a Crime...|Robin Hood: Men in Tights
Temuera Morrison;Star Wars Episode III: Revenge of the Sith|Star Wars Episode V: The Empire Strikes Back|Speed 2: Cruise Control
Maury Chaykin;Entrapment|Beethoven's 2nd|Millennium|Twins|Hero|Mr. Destiny
Dylan Walsh;Congo|Nobody's Fool
Georges Corraface;John Carpenter's Escape from L.A.|Impromptu
Anthony Anderson;Big Momma's House|Agent Cody Banks 2: Destination London|Barbershop|Me, Myself & Irene
Paulo Costanzo;Josie and the Pussycats|Road Trip
Ashley Judd;Kiss the Girls|Someone Like You|Twisted|Where the Heart Is|Heat|Double Jeopardy
Karl Urban;The Price of Milk|The Bourne Supremacy|Doom|Ghost Ship|The Lord of the Rings: The Two Towers|The Lord of the Rings: The Return of the King
Eddie Murphy;The Haunted Mansion|Dr. Dolittle 2
J.E. Freeman;Miller's Crossing|Wild at Heart|Alien: Resurrection
Drew Carey;Chicken Little|Robots
Kitty Winn;The Exorcist|Exorcist II: The Heretic
Sidney Poitier;Sneakers|To Sir, with Love|Guess Who's Coming to Dinner
David Tomlinson;Mary Poppins|Miranda|The Fiendish Plot of Dr. Fu Manchu
Patricia Neal;Breakfast at Tiffany's|In Harm's Way|Hud
Andrew Tiernan;Edward II|Edward II
Debi Mazar;Collateral|Toys|Beethoven's 2nd|Nowhere
Chris Tucker;Friday|Rush Hour|Jackie Brown
Dennis Haysbert;Mr. Baseball|Heat|Major League|Love Field
Antonio Sabi to, Jr.;High Voltage|Longshot
Lloyd Nolan;Earthquake|Peyton Place
Steve Staley;Pokamon: Lucario and the Mystery of Mew|Final Fantasy VII: Advent Children
Michael Jeter;The Fisher King|The Green Mile|The Gift
Rekha Ganesan;Kama Sutra: A Tale of Love|Silsila
Joaquim de Almeida;Behind Enemy Lines|Desperado
David Warner;Titanic|Wing Commander|Time After Time|Star Trek V: The Final Frontier|Star Trek VI: The Undiscovered Country|Tron|Planet of the Apes|Morgan: A Suitable Case for Treatment
Kevin McDonald;Stitch! The Movie|Lilo & Stitch
Jeremy Davies;Twister|Secretary
Tino Insana;Tom and Jerry: The Movie|Tom and Jerry: The Movie
Kate Mulgrew;Star Trek Nemesis|Remo Williams: The Adventure Begins
Olivia Hussey;Romeo and Juliet|Jesus of Nazareth|Lost Horizon|It
Kim Novak;Boys' Night Out|Picnic|Liebestraum|Vertigo
Kirstie Alley;Summer School|Star Trek II: The Wrath of Khan|Look Who's Talking|Look Who's Talking Too|Madhouse
Miles Malleson;Peeping Tom|I'm All Right Jack|Private's Progress
Eric Blore;Sullivan's Travels|Top Hat
Akira Terao;Dreams|Ran
Paul Hampton;Babylon 5: The Gathering|Shivers
Thomas Kretschmann;Resident Evil: Apocalypse|Downfall|King Kong|Immortel|U-571|Stalingrad
Seann William Scott;Evolution|Dude, Where's My Car?|The Dukes of Hazzard|Road Trip
Michael Sheen;Kingdom of Heaven|Timeline|Underworld: Evolution|Underworld|Wilde
Verne Troyer;Austin Powers:The Spy Who Shagged Me|Austin Powers: Goldmember
Jonathan Rhys-Meyers;Michael Collins|Titus|Vanity Fair|Alexander
John Wood;Sabrina|Orlando|Richard III
George Wallace;The Wash|The Wash
Spalding Gray;King of the Hill|Kate & Leopold|Beaches|Gray's Anatomy|True Stories
Drew Bundini Brown;Shaft's Big Score|Shaft's Big Score
Robert Morley;Alice in Wonderland|Topkapi|Beat the Devil
Gregory Peck;Gentleman's Agreement|Mackenna's Gold|Captain Newman, M.D.|The Boys from Brazil|Spellbound|Cape Fear|How the West Was Won|Twelve O'Clock High|The Yearling
Fred Savage;The Wizard|The Rules of Attraction|Austin Powers: Goldmember|The Princess Bride
Dan O'Herlihy;Waterloo|The Dead|Halloween III: Season of the Witch|The Adventures of Robinson Crusoe|Fail-Safe
Martin Short;Â¡Three Amigos!|Father of the Bride|Merlin|Jimmy Neutron: Boy Genius
Marilyn Lightstone;Heavy Metal|Heavy Metal
Jerry O'Connell;Stand by Me|Tomcats
Nick Stahl;The Thin Red Line|Sin City|Terminator 3: Rise of the Machines|Bully
Pamela Tiffin;State Fair|One, Two, Three
Christopher Castile;Beethoven's 2nd|Beethoven
Joel McCrea;Sullivan's Travels|Foreign Correspondent|Come and Get It
Timothy Daly;Basic|Diner
Madonna;Vision Quest|Who's That Girl?|Dick Tracy|Swept Away
Walter Connolly;Twentieth Century|The Good Earth|The Good Earth|Twentieth Century
Heydon Prowse;The Secret Garden|The Secret Garden
Milton Berle;Pee-wee's Big Adventure|It's a Mad, Mad, Mad, Mad World
Jane Krakowski;Vacation|Go|Alfie
May Whitty;Suspicion|The Lady Vanishes
Marcel Dalio;Pillow Talk|Grand Illusion
Takeshi Kusao;Rebirth of Fusion!! Goku and Vegeta!!|Burn Up!! A Close, Intense, Super-Fierce Battle
Brandon DiCamillo;CKY|Jackass: The Movie
Rock Hudson;Giant|Ice Station Zebra|Pillow Talk|Tobruk
Enrico Colantoni;A.I.|The First $20 Million Is Always the Hardest
Lester Matthews;The Adventures of Robin Hood|The Pied Piper
Lothaire Bluteau;Orlando|Bent
R. Lee Ermey;Willard|Man of the House
Kal Penn;National Lampoon's Van Wilder|Harold & Kumar Go to White Castle
Francesca Neri;Collateral Damage|Hannibal
William Hickey;Jerky Boys: The Movie|Puppet Master|Prizzi's Honor|Happy Birthday, Wanda June|National Lampoon's Christmas Vacation|My Blue Heaven
Paulette Goddard;Modern Times|So Proudly We Hail!
Ann Harding;Holiday|Condemned
James Rebhorn;Blank Check|The Talented Mr. Ripley|Cat's Eye
Buddy Hackett;The Little Mermaid|It's a Mad, Mad, Mad, Mad World|The Little Mermaid II: Return to the Sea
Stanley Baker;Zulu|Accident|Richard III|The Cruel Sea
Tommy Davidson;Ace Ventura: When Nature Calls|Booty Call
Brian Van Holt;Man of the House|Basic
Lon Chaney, Sr.;London After Midnight|The Phantom of the Opera
Kevin J. O'Connor;The Mummy|Hero
Jayne Atkinson;Free Willy 2: The Adventure Home|Blank Check|The Village
Clint Eastwood;Firefox|Kelly's Heroes|The Enforcer
Raymond Massey;Abe Lincoln in Illinois|How the West Was Won|The Hurricane|Possessed|Arsenic and Old Lace|East of Eden
Amanda Donohoe;Circus|Castaway
Mark Addy;The Order|A Knight's Tale
Billy Connolly;Timeline|Lemony Snicket's A Series of Unfortunate Events
Albert Finney;Miller's Crossing|Erin Brockovich|Tom Jones|Scrooge
Bob Hoskins;Beyond the Sea|Mona Lisa|Nixon|Hook|The Cotton Club|Mermaids|Vanity Fair|Brazil|Balto|Super Mario Bros.
Dana Ivey;Dirty Rotten Scoundrels|Legally Blonde 2: Red, White & Blonde
Marlon Brando;Viva Zapata!|Superman|The Score|Hearts of Darkness: A Filmmakers's Apocalypse|Candy
Brian Doyle-Murray;JFK|Groundhog Day
Madeline Kahn;Paper Moon|A Bug's Life|Nixon|Clue|What's Up, Doc?
